symbol,display_symbol,label,thai_name,asset_type,exchange,market,sector,industry,country,currency,aliases,index_memberships,yfinance_symbol,enabled,searchable,coverage_status,security_type,set_symbol,source
A-F.BK,A-F,AREEYA PROPERTY PUBLIC COMPANY LIMITED,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),foreign_stock,SET,Thailand,Property Development,Property & Construction,Thailand,THB,A-F|A|AREEYA PROPERTY PUBLIC COMPANY LIMITED|AREEYA PROPERTY|บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน)|อารียาพรอพเพอร์ตี้|บริษัท|อารียา|พรอพเพอร์ตี้|จำกัด|มหาชน|AREEYA-F,,A-F.BK,true,true,verified_set_public_listing_partial,F,A-F,set_public_stock_list_api
A.BK,A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),stock,SET,Thailand,Property Development,Property & Construction,Thailand,THB,A|AREEYA PROPERTY PUBLIC COMPANY LIMITED|AREEYA PROPERTY|บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน)|อารียาพรอพเพอร์ตี้|บริษัท|อารียา|พรอพเพอร์ตี้|จำกัด|มหาชน|AREEYA,,A.BK,true,true,verified_set_public_listing_partial,S,A,set_public_stock_list_api
A5-F.BK,A5-F,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),foreign_stock,SET,Thailand,Property Development,Property & Construction,Thailand,THB,A5-F|A5|ASSET FIVE GROUP PUBLIC COMPANY LIMITED|ASSET FIVE GROUP|บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน)|แอสเซทไฟว์กรุ๊ป|บริษัท|แอสเซท|ไฟว์|กรุ๊ป|จำกัด|มหาชน|RK-F|ADAM-F,,A5-F.BK,true,true,verified_set_public_listing_partial,F,A5-F,set_public_stock_list_api
A5.BK,A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),stock,SET,Thailand,Property Development,Property & Construction,Thailand,THB,A5|ASSET FIVE GROUP PUBLIC COMPANY LIMITED|ASSET FIVE GROUP|บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน)|แอสเซทไฟว์กรุ๊ป|บริษัท|แอสเซท|ไฟว์|กรุ๊ป|จำกัด|มหาชน|ADAM|RK,,A5.BK,true,true,verified_set_public_listing_partial,S,A5,set_public_stock_list_api
AAI-F.BK,AAI-F,Asian Alliance International Public Company Limited,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),foreign_stock,SET,Thailand,Food & Beverage,Agro & Food Industry,Thailand,THB,AAI-F|AAI|Asian Alliance International Public Company Limited|Asian Alliance International|บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน)|เอเชี่ยนอะไลอันซ์อินเตอร์เนชั่นแนล|บริษัท|เอเชี่ยน|อะไลอันซ์|อินเตอร์เนชั่นแนล|จำกัด|มหาชน,,AAI-F.BK,true,true,verified_set_public_listing_partial,F,AAI-F,set_public_stock_list_api
AAI.BK,AAI,Asian Alliance International Public Company Limited,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),stock,SET,Thailand,Food & Beverage,Agro & Food Industry,Thailand,THB,AAI|Asian Alliance International Public Company Limited|Asian Alliance International|บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน)|เอเชี่ยนอะไลอันซ์อินเตอร์เนชั่นแนล|บริษัท|เอเชี่ยน|อะไลอันซ์|อินเตอร์เนชั่นแนล|จำกัด|มหาชน,,AAI.BK,true,true,verified_set_public_listing_partial,S,AAI,set_public_stock_list_api
AAV-F.BK,AAV-F,ASIA AVIATION PUBLIC COMPANY LIMITED,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),foreign_stock,SET,Thailand,Transportation & Logistics,Services,Thailand,THB,AAV-F|AAV|ASIA AVIATION PUBLIC COMPANY LIMITED|ASIA AVIATION|บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน)|เอเชียเอวิเอชั่น|บริษัท|เอเชีย|เอวิเอชั่น|จำกัด|มหาชน,,AAV-F.BK,true,true,verified_set_public_listing_partial,F,AAV-F,set_public_stock_list_api
AAV.BK,AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),stock,SET,Thailand,Transportation & Logistics,Services,Thailand,THB,AAV|ASIA AVIATION PUBLIC COMPANY LIMITED|ASIA AVIATION|บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน)|เอเชียเอวิเอชั่น|บริษัท|เอเชีย|เอวิเอชั่น|จำกัด|มหาชน,,AAV.BK,true,true,verified_set_public_listing_partial,S,AAV,set_public_stock_list_api
ABFTH.BK,ABFTH,THE ABF THAILAND BOND INDEX FUND,กองทุนเปิดดัชนีพันธบัตรไทยเอบีเอฟ,etf,SET,Thailand,Unclassified,Unclassified,Thailand,THB,ABFTH|THE ABF THAILAND BOND INDEX FUND|ABF THAILAND BOND INDEX FUND|กองทุนเปิดดัชนีพันธบัตรไทยเอบีเอฟ,,ABFTH.BK,true,true,verified_set_public_listing_partial,L,ABFTH,set_public_stock_list_api
ABM-F.BK,ABM-F,ASIA BIOMASS PUBLIC COMPANY LIMITED,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),foreign_stock,mai,Thailand,Unclassified,Resources,Thailand,THB,ABM-F|ABM|ASIA BIOMASS PUBLIC COMPANY LIMITED|ASIA BIOMASS|บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน)|เอเชียไบโอแมส|บริษัท|เอเชีย|ไบโอแมส|จำกัด|มหาชน,,ABM-F.BK,true,true,verified_set_public_listing_partial,F,ABM-F,set_public_stock_list_api
